translation_key,translation_source_lang,translated_text_vi,translation_model
4ba6ee0ae458d8201d14358309bf0204a86a81e485afac04d01b5108b71db616,ru,"Horizon Coffee là một quán cà phê xinh đẹp với tầm nhìn vô cùng tuyệt vời về núi  ở đây mọi thứ có thể dành cho nghỉ ngơi. Một số khu vực có bàn: bạn có thể chọn một nơi thoải mái dưới lều, bên cửa sổ hoặc trên sân nhà mở để thưởng thức phong cảnh và không khí tươi mát.",facebook/nllb-200-distilled-600M
4c8a75abff15465aba8faaf4074d010dcf087c3263de25465989d539b1c45edd,en,"Tôi thực sự thích nơi này, uống trà kem sữa dừa, tuyệt vời, tầm nhìn tuyệt vời từ trên cao.",facebook/nllb-200-distilled-600M
523fa279cb83c4b23deda4529bf851339ae262513c60d0466c67a1e4e4b5c4f6,ru,"Cà phê thật kinh khủng, phô-bô chỉ với thịt cao su, tệ hơn cả thức ăn và cà phê.",facebook/nllb-200-distilled-600M
545e14aaad3726697f3403ed1396a50a259211fffd002a8bf055615efb62f66c,en,Mảnh quan tuyệt đẹp và cà phê tuyệt vời! Nơi tuyệt vời để thưởng thức tầm nhìn núi sương mù. Cappuccino nóng là ngon và mịn mịn. bầu không khí ấm áp và nhân viên thân thiện  hoàn hảo cho một nghỉ ngơi thư giãn cà phê!,facebook/nllb-200-distilled-600M
55f2b98a453021e5a8c4e5bf8c1a01eacb10910a496cd23cd809e71b19897f7e,ko,"Ồ, một lần tôi đi xe đến nơi đó, không có gì ngon hơn một cửa hàng cà phê giá rẻ ở phía trước nhà nghỉ, không có menu nào mà tôi cảm thấy có ngon hơn cà phê, cà phê ngô, 4 đồ uống cho trẻ em, và tôi cảm thấy có giá cả đồ uống và phong cảnh tuyệt vời.",facebook/nllb-200-distilled-600M
5792313856a95686471d83b602e75880eaf7a3c818b7b13b0dd7ab4eef97763b,en,Được rồi 😂,facebook/nllb-200-distilled-600M
5e2f9d60bf3b079c029546b874f8a8abc7b357eb2bbc309b12eb3e34c0f54968,ko,"Đó là một cái nhìn nhẹ nhàng, nó làm cho khách có thể không thể tiếp cận được, nó chỉ là một quán cà phê, nó chỉ là một nơi xa đường, và hương vị cà phê của nó là như vậy.",facebook/nllb-200-distilled-600M
60268ffb36e874a17a413d9fdccf84bcdb2fc21ea5674470555a5aeb4ea4147f,en,Mảnh quan tuyệt vời 😍,facebook/nllb-200-distilled-600M
670cf041b0e4740a833852a0212349d112c26b6f5115223c6b464063aa296213,ru,"Những nơi rất đẹp, có vẻ như là nơi sụp đổ, món ăn ngon, giá cả rất tốt.",facebook/nllb-200-distilled-600M
686514f27831fefd1b94fe06d2dfc17e8ba51b3ddd9d57e8842cd71bb53bd8b7,en,59K/ng gà,facebook/nllb-200-distilled-600M
69a6749d46da92abe6be72150f48f647518c91b9f9fe487b47df6fd121485b8c,ko,"Tôi đi xem hình ảnh và thấy thất vọng vì kích thước nhỏ, tầm nhìn nhỏ, uống một ly cà phê với những người bị áp lực, và đi tiếp.",facebook/nllb-200-distilled-600M
8c1f33cd5a5cfa4ab981dbe07c39373e65b64a6ea03a29c1f698706f1d9b7bd4,en,Cho xin Menu,facebook/nllb-200-distilled-600M
8fc56be8c956cbb6b3ee392ce541654e0432abe2a246ab8479a29dd550f6b72f,en,Một quán cà phê đẹp với tầm nhìn núi,facebook/nllb-200-distilled-600M
9fd655e9785187e8fc699448742a96cb3efb22468558e21b69a3843c191f94a4,ko,"Môi trường rất đẹp, cà phê rất ngon, giá cả cũng rất tốt, cảm giác dâng lên trên bầu trời, trứng ngô và cà phê rất tốt.",facebook/nllb-200-distilled-600M
ab90135e40b962189de81a6cd0bd02d659007a9a109e913826d3926765d314a0,ko,"Tôi mệt mỏi với cà phê, và tôi đã đặt mua nước cam và sữa camellia. Nước uống rất tuyệt vời và phong cảnh rất tuyệt vời.",facebook/nllb-200-distilled-600M
affdad8be2936d2d2e5308b03c18f1e435eb6b0917a11734b38815af62f02550,en,Địa điểm tuyệt vời! Nhân viên thân thiện và hữu ích. Thực phẩm thực sự ngon. Ăn mì thịt bò. Phương cảnh thật tuyệt vời!!,facebook/nllb-200-distilled-600M
ba3f8fa4a6fd9a740843ac582f49a0f896e0e80c19e43d2b2ec73870cc986a91,ko,Đi du lịch và ghé thăm quán cà phê này.,facebook/nllb-200-distilled-600M
be3259c5d0f6df84485fc3a94cf9be1bf81c43e56d81a47b7b749aa1fb63abf8,ko,Tôi thích cảnh thiên nhiên. Tôi thích cà phê.,facebook/nllb-200-distilled-600M
cbca932067bc716076b8705c8a1616def979ecb1f867c2ee66d65f13f07e9e3b,ko,"Nếu bạn rời khỏi nhà ga và còn nhiều thời gian để check-in tại khách sạn, hãy nghỉ ngơi và thưởng thức cà phê và khung cảnh tuyệt vời ở đây.",facebook/nllb-200-distilled-600M
cf0ff15f76d0a603c00674e6980c9b6f4bbf02419a2e56c9780160c16c1e5df9,ru,"Đây là nơi tuyệt vời để ăn Pho Bo vào buổi sáng, với tầm nhìn tuyệt vời về thung lũng và rừng rậm.",facebook/nllb-200-distilled-600M
cf9098c680528032ba6121ecbf3ab130e322cd3d0e038eb832bcb4587b55a410,en,Những hoàng hôn ở đây là không thể tin được  và ngay cả các nhân viên đậu xe làm cho nơi này cảm thấy đặc biệt. Một trong những điểm yêu thích của chúng tôi ở Da Lat. Chúng tôi có thể nhìn vào vẻ đẹp này trong nhiều giờ.,facebook/nllb-200-distilled-600M
daadc4d2d852238d7a3b2d92a55657b6ea37ae6e0a466e94fe640c4dc5261275,en,Bố ơi ... 60 nhu vay co re uau ko,facebook/nllb-200-distilled-600M
e57c7022773fde54d3d8c43fce69bf3f92888e532548d8da45fbc8f5db1ac399,ko,"Môi trường rất đẹp, nước ép cũng rất ngon.",facebook/nllb-200-distilled-600M
e64f9fb4595e9b8e625742ab2f138204af39ae1d9d1e566d9a1260eb2350aedd,en,"Nhà hàng có không gian rộng rãi, nhìn thẳng vào những ngọn đồi xanh mát mẻ, và hoàng hôn đẹp vào buổi chiều. Khu BBQ ngoài trời kết hợp với khu vực cà phê mang lại một trải nghiệm thư giãn và ấm cúng. Các đồ uống dễ uống, các món nướng được nấu chín tốt, phù hợp với các nhóm bạn bè hoặc gia đình. Giá cả hơi cao nhưng xứng đáng với không gian và cảnh quan. Nếu bạn muốn tìm một nơi để thư giãn và thưởng thức một bữa tiệc nướng, Horizon Coffee - BBQ Da Lat là một lựa chọn đáng để thử.",facebook/nllb-200-distilled-600M
ea13271fefa22b8a78f83a8dc6845b076aac8bbef480846e87dcbf05038618c2,en,Địa điểm rất đẹp. Tôi đã đến hôm nay. khung cảnh là tuyệt vời nhân viên rất thân thiện cà phê không phải là hương vị của tôi lần sau sẽ đặt hàng đồ uống khác rất khuyên bạn nên ghé thăm Dalat,facebook/nllb-200-distilled-600M
f1cb459582f92bdf7ef691980e25b314aae955aba8cae40f691169e6d73c207d,ko,"GrabTago 5-10 phút, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời, một cái nhìn tuyệt vời.",facebook/nllb-200-distilled-600M
